,artist,date,genre,style,title,filename,20,res_all,res_fc,vgg_all,vgg_fc,vgg_last,res_all_acc,res_fc_acc,vgg_all_acc,vgg_fc_acc,vgg_last_acc,all_true
1431,Isaac Levitan,1885,cloudscape,Realism,Landscare. Distant View.,65096.jpg,1880-1899,1860-1879,1860-1879,1860-1879,1860-1879,1980-1999,False,False,False,False,False,False
1432,Amedeo Modigliani,1918,nude painting (nu),Expressionism,Seated nude,8812.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,True,True,True,True,True,True
1433,Willard Metcalf,1922,landscape,Impressionism,Icebound Brook (aka Winter's Mantle),32076.jpg,1920-1939,1900-1919,1900-1919,1900-1919,1860-1879,1860-1879,False,False,False,False,False,False
1434,Fyodor Bronnikov,1874,genre painting,Academicism,Consecration of the herm,49733.jpg,1860-1879,1860-1879,1860-1879,1860-1879,1860-1879,1880-1899,True,True,True,True,False,False
1435,Zinaida Serebriakova,1909,landscape,Impressionism,Cabbage. Village Neskuchnoye ,54162.jpg,1900-1919,1920-1939,1900-1919,1900-1919,1880-1899,1980-1999,False,True,True,False,False,False
1436,Karl Knaths,1946,landscape,Cubism,Deer in Sunset,69607.jpg,1940-1959,1920-1939,1900-1919,1880-1899,1900-1919,1900-1919,False,False,False,False,False,False
1437,Sir Lawrence Alma-Tadema,1896,genre painting,Romanticism,A Difference of Opinion,35174.jpg,1880-1899,1880-1899,1880-1899,1900-1919,1880-1899,1880-1899,True,True,False,True,True,False
1438,Vasily Surikov,1898,genre painting,Realism,Old soldier descending from the snowy mountain,8665.jpg,1880-1899,1900-1919,1900-1919,1880-1899,1900-1919,1860-1879,False,False,True,False,False,False
1439,William Bradford,1865,marina,Romanticism,Icebergs ,60186.jpg,1860-1879,1860-1879,1860-1879,1940-1959,1860-1879,1880-1899,True,True,False,True,False,False
1440,Amedeo Modigliani,1915,portrait,Expressionism,Portrait of Henri Laurens,11537.jpg,1900-1919,1900-1919,1920-1939,1900-1919,1900-1919,1900-1919,True,False,True,True,True,False
1441,Christian Rohlfs,1921,symbolic painting,Expressionism,Large Heads (2 Heads I),45323.jpg,1920-1939,1960-1979,1900-1919,1900-1919,1900-1919,1960-1979,False,False,False,False,False,False
1442,William H. Johnson,1939,nude painting (nu),Expressionism,Seated Nude,78927.jpg,1920-1939,1920-1939,1900-1919,1920-1939,1920-1939,1920-1939,True,False,True,True,True,False
1443,Anton Azbe,1888,portrait,Realism,Portrait of a girl,88114.jpg,1880-1899,1860-1879,1880-1899,1880-1899,1880-1899,1880-1899,False,True,True,True,True,False
1444,Joan Miro,1925,abstract,Surrealism,Siesta,95327.jpg,1920-1939,1920-1939,1900-1919,1960-1979,1960-1979,1920-1939,True,False,False,False,True,False
1445,Raoul Dufy,1926,landscape,Naïve Art (Primitivism),Landscape of Esterel ,59463.jpg,1920-1939,1920-1939,1900-1919,1900-1919,1920-1939,1920-1939,True,False,False,True,True,False
1446,Max Ernst,1934,illustration,Surrealism,"Illustration to ""A Week of Kindness""",53597.jpg,1920-1939,1920-1939,1900-1919,1920-1939,1920-1939,1920-1939,True,False,True,True,True,False
1447,Gene Davis,1958,abstract,Abstract Expressionism,Blue Rectangle II,71916.jpg,1940-1959,1960-1979,1960-1979,1940-1959,1960-1979,1960-1979,False,False,True,False,False,False
1448,Ilya Mashkov,1920,landscape,Impressionism,Simeiz beach,34903.jpg,1920-1939,1920-1939,1900-1919,1880-1899,1900-1919,1920-1939,True,False,False,False,True,False
1449,Raphael Kirchner,1903,literary painting,Art Nouveau (Modern),Salome,48869.jpg,1900-1919,1920-1939,1880-1899,1920-1939,1900-1919,1960-1979,False,False,False,True,False,False
1450,Vela Zanetti,1941,genre painting,Muralism,Evacuation of the Pyrenees,37194.jpg,1940-1959,1900-1919,1900-1919,1920-1939,1900-1919,1900-1919,False,False,False,False,False,False
1451,Tsuguharu Foujita,1926,self-portrait,Magic Realism,Self-Portrait in the Studio ,101798.jpg,1920-1939,1880-1899,1900-1919,1940-1959,1880-1899,1920-1939,False,False,False,False,True,False
1452,Albert Joseph Moore,1877,portrait,Academicism,The End of the Story,101127.jpg,1860-1879,1860-1879,1980-1999,1860-1879,1860-1879,1900-1919,True,False,True,True,False,False
1453,Gustav Klimt,1902,sketch and study,Symbolism,Two Studies of Sitting Nudes,102968.jpg,1900-1919,1900-1919,1960-1979,1940-1959,1900-1919,1940-1959,True,False,False,True,False,False
1454,Robert Henri,1897,cityscape,American Realism,Place in Paris ,63854.jpg,1880-1899,1860-1879,1900-1919,1940-1959,1900-1919,1880-1899,False,False,False,False,True,False
1455,Henri Fantin-Latour,1900,flower painting,Realism,Bouquet of Flowers,31598.jpg,1900-1919,1880-1899,1980-1999,1880-1899,1880-1899,1860-1879,False,False,False,False,False,False
1456,M.C. Escher,1918,flower painting,Expressionism,Sunflowers,1.jpg,1900-1919,1880-1899,1960-1979,1940-1959,1940-1959,1920-1939,False,False,False,False,False,False
1457,Charles-Francois Daubigny,1877,landscape,Realism,Apple Trees at Auvers,46259.jpg,1860-1879,1880-1899,1900-1919,1880-1899,1860-1879,1860-1879,False,False,False,True,True,False
1458,Alexej von Jawlensky,1916,abstract,Abstract Art,Variation,43591.jpg,1900-1919,1940-1959,1980-1999,1900-1919,1900-1919,1900-1919,False,False,True,True,True,False
1459,Berthe Morisot,1893,portrait,Impressionism,Julie Manet and her Greyhound Laerte,34533.jpg,1880-1899,1880-1899,1900-1919,1880-1899,1880-1899,1860-1879,True,False,True,True,False,False
1460,Georges Hugnet,1935,figurative,Surrealism,Le mystère est exempt de pudeur,22650.jpg,1920-1939,1880-1899,1880-1899,1880-1899,1880-1899,1860-1879,False,False,False,False,False,False
1461,Honore Daumier,1869,caricature,Realism,Glais Bizoin,38997.jpg,1860-1879,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,False,False,False,False,False,False
1462,Paul Gauguin,1896,genre painting,Post-Impressionism,Perfect days,9517.jpg,1880-1899,1880-1899,1900-1919,1880-1899,1900-1919,1900-1919,True,False,True,False,False,False
1463,Max Bill,1972,abstract,Concretism,Strahlung zu gelb,81513.jpg,1960-1979,1960-1979,1960-1979,1960-1979,1960-1979,1960-1979,True,True,True,True,True,True
1464,M.C. Escher,1938,tessellation,Op Art,Sky and Water II,22659.jpg,1920-1939,1940-1959,1960-1979,1940-1959,1940-1959,1960-1979,False,False,False,False,False,False
1465,Camille Bryen,1953,abstract,Tachisme,Frottis Bleu,44959.jpg,1940-1959,1920-1939,1900-1919,1940-1959,1900-1919,1900-1919,False,False,True,False,False,False
1466,Gustave de Smet,1916,landscape,Expressionism,Arbres,79063.jpg,1900-1919,1900-1919,1920-1939,1880-1899,1960-1979,1980-1999,True,False,False,False,False,False
1467,Sophie Taeuber-Arp,1937,abstract,Constructivism,Composition dans un cercle,23877.jpg,1920-1939,1960-1979,1960-1979,1960-1979,1960-1979,1960-1979,False,False,False,False,False,False
1468,Theophilus Brown,1963,genre painting,Neo-Expressionism,The Muscatine Diver,50243.jpg,1960-1979,1960-1979,1900-1919,1940-1959,1900-1919,1920-1939,True,False,False,False,False,False
1469,Mikalojus Ciurlionis,1905,symbolic painting,Symbolism,Faces,58966.jpg,1900-1919,1900-1919,1900-1919,1940-1959,1880-1899,1900-1919,True,True,False,False,True,False
1470,Albert Marquet,1906,cityscape,Post-Impressionism,July 14th at Havre,11128.jpg,1900-1919,1900-1919,1920-1939,1940-1959,1900-1919,1940-1959,True,False,False,True,False,False
1471,Ohara Koson,1910,wildlife painting,Shin-hanga,Monkey on the tree,59599.jpg,1900-1919,1900-1919,1900-1919,1920-1939,1880-1899,1860-1879,True,True,False,False,False,False
1472,William Merritt Chase,1884,genre painting,Impressionism,A Summer Afternon in Holland (Sunlight and Shadow),41239.jpg,1880-1899,1860-1879,1920-1939,1920-1939,1880-1899,1860-1879,False,False,False,True,False,False
1473,Paul Peel,1889,portrait,Impressionism,Lady in the Garden ,94290.jpg,1880-1899,1880-1899,1880-1899,1900-1919,1880-1899,1880-1899,True,True,False,True,True,False
1474,Mstislav Dobuzhinsky,1903,cityscape,Art Nouveau (Modern),Alexandrinsky Theatre,48621.jpg,1900-1919,1940-1959,1900-1919,1920-1939,1940-1959,1960-1979,False,True,False,False,False,False
1475,Xu Beihong,1948,animal painting,Post-Impressionism,Two Horses ,23553.jpg,1940-1959,1920-1939,1900-1919,1960-1979,1940-1959,1900-1919,False,False,False,True,False,False
1476,Dieter Roth,1970,,Neo-Dada,Snow,17407.jpg,1960-1979,1960-1979,1940-1959,1960-1979,1960-1979,1960-1979,True,False,True,True,True,False
1477,Winslow Homer,1895,landscape,Realism,"Under the Falls, the Grand Discharge",57410.jpg,1880-1899,1900-1919,1900-1919,1940-1959,1880-1899,1880-1899,False,False,False,True,True,False
1478,Marevna (Marie Vorobieff),1938,still life,Pointillism,Still Life with Bottle and Fruit,34520.jpg,1920-1939,1920-1939,1900-1919,1900-1919,1900-1919,1900-1919,True,False,False,False,False,False
1479,Boris Kustodiev,1920,genre painting,Art Nouveau (Modern),Meeting on the corner,32218.jpg,1920-1939,1900-1919,1900-1919,1900-1919,1920-1939,1900-1919,False,False,False,True,False,False
1480,Walter Crane,1874,illustration,Neo-Romanticism,The Frog Prince and other stories,27316.jpg,1860-1879,1900-1919,1980-1999,1860-1879,1860-1879,1900-1919,False,False,True,True,False,False
1481,Tamara de Lempicka,1928,nude painting (nu),Art Deco,Nude with Dove,4323.jpg,1920-1939,1920-1939,1940-1959,1920-1939,1920-1939,1920-1939,True,False,True,True,True,False
1482,Boris Kustodiev,1926,poster,Naïve Art (Primitivism),"Poster of the play ""Flea""",3582.jpg,1920-1939,1920-1939,1980-1999,1900-1919,1900-1919,1940-1959,True,False,False,False,False,False
1483,Jose Guerrero,1971,abstract,Abstract Expressionism,En la casa de Velázquez,64810.jpg,1960-1979,1960-1979,1960-1979,1960-1979,1960-1979,1940-1959,True,True,True,True,False,False
1484,Ilya Repin,1902,portrait,Realism,Portrait of V. K. Pleve,35576.jpg,1900-1919,1860-1879,1900-1919,1860-1879,1880-1899,1880-1899,False,True,False,False,False,False
1485,Alexandre Istrati,1951,abstract,Tachisme,Composition orange,17854.jpg,1940-1959,1960-1979,1980-1999,1960-1979,1960-1979,1960-1979,False,False,False,False,False,False
1486,Louis Comfort Tiffany,1908,design,Art Nouveau (Modern),Veduta di osyster bay ,2028.jpg,1900-1919,1960-1979,1900-1919,1900-1919,1880-1899,1900-1919,False,True,True,False,True,False
1487,Albert Joseph Moore,1870,genre painting,Academicism,Battledore,65083.jpg,1860-1879,1860-1879,1940-1959,1900-1919,1900-1919,1920-1939,True,False,False,False,False,False
1488,Adja Yunkers,1964,symbolic painting,Abstract Expressionism,The Turtle,4275.jpg,1960-1979,1960-1979,1900-1919,1940-1959,1960-1979,1960-1979,True,False,False,True,True,False
1489,Richard Paul Lohse,1955,abstract,Concretism,Neun systematische Farbreihen mit horizontaler und vertikaler Verdichtung,58665.jpg,1940-1959,1960-1979,1960-1979,1940-1959,1960-1979,1960-1979,False,False,True,False,False,False
1490,Isaac Levitan,1889,landscape,Realism,Plyos,99105.jpg,1880-1899,1880-1899,1900-1919,1880-1899,1860-1879,1860-1879,True,False,True,False,False,False
1491,Gustave Caillebotte,1878,landscape,Impressionism,"Yerres, Path Through the Old Growth Woods in the Park",86935.jpg,1860-1879,1860-1879,1880-1899,1860-1879,1860-1879,1900-1919,True,False,True,True,False,False
1492,Paul Cezanne,1906,genre painting,Cubism,Large Bathers,1695.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,1940-1959,True,True,True,True,False,False
1493,John French Sloan,1911,genre painting,New Realism,"Scrubwoman, Astor Library",48090.jpg,1900-1919,1860-1879,1860-1879,1860-1879,1960-1979,1960-1979,False,False,False,False,False,False
1494,Vasily Vereshchagin,1875,genre painting,Realism,Yaqui,77972.jpg,1860-1879,1860-1879,1900-1919,1860-1879,1860-1879,1880-1899,True,False,True,True,False,False
1495,Jacek Malczewski,1910,landscape,Symbolism,Follow the Stream (right wing),64768.jpg,1900-1919,1920-1939,1900-1919,1880-1899,1920-1939,1880-1899,False,True,False,False,False,False
1496,Paul Cezanne,1904,landscape,Cubism,Chateau Noir,48675.jpg,1900-1919,1900-1919,1900-1919,1920-1939,1900-1919,1880-1899,True,True,False,True,False,False
1497,George Frederick Watts,1898,religious painting,Symbolism,Denunciation of Adam and Eve,72795.jpg,1880-1899,1880-1899,1940-1959,1880-1899,1880-1899,1860-1879,True,False,True,True,False,False
1498,Auguste Herbin,1905,still life,Fauvism,Still Life with Lamp ,36024.jpg,1900-1919,1900-1919,1980-1999,1940-1959,1940-1959,1920-1939,True,False,False,False,False,False
1499,Valentin Serov,1902,portrait,Impressionism,Portrait of Princess Zinaida Yusupova,31938.jpg,1900-1919,1880-1899,1900-1919,1880-1899,1900-1919,1900-1919,False,True,False,True,True,False
1500,Ivan Milev,1926,mythological painting,Symbolism,Legend of the Holy Mountain,70748.jpg,1920-1939,1920-1939,1900-1919,1920-1939,1940-1959,1940-1959,True,False,True,False,False,False
1501,Amedeo Modigliani,1915,portrait,Expressionism,A Head,19813.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,1860-1879,True,True,True,True,False,False
1502,Marc Chagall,1957,genre painting,Expressionism,The street performers in the night,91067.jpg,1940-1959,1960-1979,1960-1979,1960-1979,1940-1959,1940-1959,False,False,False,True,True,False
1503,Dieter Roth,1972,,Op Art,Alpa,47270.jpg,1960-1979,1960-1979,1900-1919,1960-1979,1960-1979,1960-1979,True,False,True,True,True,False
1504,Victor Brauner,1964,symbolic painting,Surrealism,La Passivite Comblee,66685.jpg,1960-1979,1940-1959,1900-1919,1940-1959,1940-1959,1960-1979,False,False,False,False,True,False
1505,Theophile Steinlen,1915,illustration,Realism,Les Familles Dispersees  ,52629.jpg,1900-1919,1860-1879,1900-1919,1900-1919,1900-1919,1880-1899,False,True,True,True,False,False
1506,Kuzma Petrov-Vodkin,1927,sketch and study,Symbolism,Drawing for the painting Death of Commissioner ,88285.jpg,1920-1939,1920-1939,1960-1979,1940-1959,1960-1979,1920-1939,True,False,False,False,True,False
1507,Ivan Shishkin,1870,landscape,Realism,Forest Stream,32904.jpg,1860-1879,1860-1879,1860-1879,1860-1879,1860-1879,1860-1879,True,True,True,True,True,True
1508,Vajda Lajos,1933,figurative,Surrealism,Gustave Fleury ,50973.jpg,1920-1939,1920-1939,1920-1939,1920-1939,1920-1939,1920-1939,True,True,True,True,True,True
1509,Sydney Laurence,1928,marina,Romanticism,Cape St. Elias ,85813.jpg,1920-1939,1880-1899,1860-1879,1920-1939,1860-1879,1880-1899,False,False,True,False,False,False
1510,Jean-Michel Basquiat,1982,figurative,Neo-Expressionism,Boy and dog in a Johnnypump,8446.jpg,1980-1999,1960-1979,1900-1919,1980-1999,1960-1979,1960-1979,False,False,True,False,False,False
1511,Gene Davis,1973,abstract,Color Field Painting,Checkmate,28290.jpg,1960-1979,1980-1999,1960-1979,1960-1979,1960-1979,1940-1959,False,True,True,True,False,False
1512,Ivan Shishkin,1891,landscape,Realism,Fir forest,17948.jpg,1880-1899,1860-1879,1900-1919,1860-1879,1860-1879,1880-1899,False,False,False,False,True,False
1513,Otto Freundlich,1941,abstract,Abstract Art,Rosace II,16358.jpg,1940-1959,1920-1939,1980-1999,1920-1939,1920-1939,1960-1979,False,False,False,False,False,False
1514,Egon Schiele,1918,portrait,Expressionism,Portrait of Albert Paris von Gutersloh,71072.jpg,1900-1919,1980-1999,1900-1919,1960-1979,1960-1979,1880-1899,False,True,False,False,False,False
1515,Henri Michaux,1930,mythological painting,Expressionism,Les Trois Graces,19232.jpg,1920-1939,1960-1979,1940-1959,1940-1959,1960-1979,1960-1979,False,False,False,False,False,False
1516,Ivan Aivazovsky,1873,marina,Romanticism,Morning in the Bay of Naples,71190.jpg,1860-1879,1880-1899,1860-1879,1860-1879,1880-1899,1860-1879,False,True,True,False,True,False
1517,Gene Davis,1952,abstract,Abstract Expressionism,Homage to Dubuffet I,18689.jpg,1940-1959,1960-1979,1960-1979,1940-1959,1940-1959,1900-1919,False,False,True,True,False,False
1518,Juan Gris,1916,still life,Synthetic Cubism,Playing Cards and Siphon,73315.jpg,1900-1919,1900-1919,1920-1939,1920-1939,1920-1939,1920-1939,True,False,False,False,False,False
1519,Leopold Survage,1913,sketch and study,Orphism,Colored Rhythm: Study for the Film,69212.jpg,1900-1919,1940-1959,1980-1999,1940-1959,1960-1979,1940-1959,False,False,False,False,False,False
1520,Theo van Doesburg,1916,genre painting,Cubism,The Cardplayers,67625.jpg,1900-1919,1900-1919,1920-1939,1920-1939,1900-1919,1920-1939,True,False,False,True,False,False
1521,Koshiro Onchi,1953,figurative,Sōsaku hanga,Fiction no. 1,68796.jpg,1940-1959,1920-1939,1960-1979,1940-1959,1900-1919,1920-1939,False,False,True,False,False,False
1522,Ivan Generalic,1970,genre painting,Naïve Art (Primitivism),Winter day ,14101.jpg,1960-1979,1920-1939,1900-1919,1960-1979,1900-1919,1960-1979,False,False,True,False,True,False
1523,Gustav Klimt,1908,landscape,Art Nouveau (Modern),Water Castle,20120.jpg,1900-1919,1880-1899,1900-1919,1880-1899,1900-1919,1920-1939,False,True,False,True,False,False
1524,Emil Carlsen,1904,still life,Realism,Still Life with a Brass Kettle,44037.jpg,1900-1919,1960-1979,1960-1979,1880-1899,1880-1899,1880-1899,False,False,False,False,False,False
1525,Zinaida Serebriakova,1911,portrait,Art Nouveau (Modern),Portrait of E.K. Lancere ,54113.jpg,1900-1919,1860-1879,1920-1939,1860-1879,1900-1919,1960-1979,False,False,False,True,False,False
1526,Vasily Polenov,1900,religious painting,Realism,We decided to go to Jerusalem,90490.jpg,1900-1919,1900-1919,1880-1899,1900-1919,1880-1899,1860-1879,True,False,True,False,False,False
1527,Pierre-Auguste Renoir,1880,sketch and study,Impressionism,Head of a Young Woman,85109.jpg,1880-1899,1880-1899,1900-1919,1880-1899,1880-1899,1860-1879,True,False,True,True,False,False
1528,Odilon Redon,1910,flower painting,Symbolism,Poppies in a Vase,47205.jpg,1900-1919,1900-1919,1980-1999,1900-1919,1900-1919,1900-1919,True,False,True,True,True,False
1529,Jack Bush,1954,still life,Cubism,Still Life with Knife ,89826.jpg,1940-1959,1940-1959,1900-1919,1940-1959,1920-1939,1940-1959,True,False,True,False,True,False
1530,Amedeo Modigliani,1919,portrait,Expressionism,Seated woman weared in blue blouse,72732.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,1920-1939,True,True,True,True,False,False
1531,Grace Cossington Smith,1915,portrait,Post-Impressionism,Quaker girl,48806.jpg,1900-1919,1920-1939,1920-1939,1920-1939,1920-1939,1920-1939,False,False,False,False,False,False
1532,Raphael Kirchner,1899,design,Art Nouveau (Modern),Happy New Year,95229.jpg,1880-1899,1880-1899,1960-1979,1900-1919,1900-1919,1960-1979,True,False,False,False,False,False
1533,Olexandr Archipenko,1950,genre painting,Cubism,Bathers ,12305.jpg,1940-1959,1920-1939,1960-1979,1940-1959,1920-1939,1940-1959,False,False,True,False,True,False
1534,69,1969,abstract,Abstract Art,0.42,48308.jpg,1960-1979,1960-1979,1960-1979,1940-1959,1940-1959,1960-1979,True,True,False,False,True,False
1535,Camille Graeser,1973,abstract,Concretism,Komplementär-Relation I,96737.jpg,1960-1979,1960-1979,1960-1979,1960-1979,1960-1979,1960-1979,True,True,True,True,True,True
1536,John French Sloan,1917,landscape,New Realism,Passing Schooner,52344.jpg,1900-1919,1900-1919,1900-1919,1880-1899,1900-1919,1880-1899,True,True,False,True,False,False
1537,August Macke,1914,landscape,Orphism,House in the garden,9726.jpg,1900-1919,1960-1979,1900-1919,1900-1919,1960-1979,1960-1979,False,True,True,False,False,False
1538,Aristarkh Lentulov,1915,cityscape,Cubo-Futurism,Bells. Ivan the Great Bell,72512.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1920-1939,1880-1899,True,True,True,False,False,False
1539,John William Waterhouse,1873,genre painting,Romanticism,"Gone, But Not Forgotten",89337.jpg,1860-1879,1880-1899,1880-1899,1860-1879,1880-1899,1880-1899,False,False,True,False,False,False
1540,Camille Corot,1875,landscape,Realism,Le Gue (Cows on the Banks of the Gue),16880.jpg,1860-1879,1860-1879,1880-1899,1900-1919,1860-1879,1900-1919,True,False,False,True,False,False
1541,Aubrey Beardsley,1896,genre painting,Art Nouveau (Modern),"A Repetition of ""Tristan und Isolde""",45129.jpg,1880-1899,1880-1899,1880-1899,1920-1939,1960-1979,1860-1879,True,True,False,False,False,False
1542,Ivan Kramskoy,1880,portrait,Realism,Portrait of the painter Ivan Shishkin,65418.jpg,1880-1899,1860-1879,1900-1919,1860-1879,1860-1879,1860-1879,False,False,False,False,False,False
1543,Jean-Francois Millet,1869,genre painting,Realism,In the Auvergne,75659.jpg,1860-1879,1900-1919,1900-1919,1900-1919,1880-1899,1900-1919,False,False,False,False,False,False
1544,Oskar Kokoschka,1917,mythological painting,Expressionism,Orfeus and Euridice,17366.jpg,1900-1919,1920-1939,1980-1999,1940-1959,1940-1959,1940-1959,False,False,False,False,False,False
1545,Eyvind Earle,1982,landscape,Magic Realism,Eucalyptus,48517.jpg,1980-1999,1920-1939,1900-1919,1900-1919,1900-1919,1920-1939,False,False,False,False,False,False
1546,Robert Henri,1902,cloudscape,American Realism,Spain ,66474.jpg,1900-1919,1900-1919,1860-1879,1900-1919,1880-1899,1860-1879,True,False,True,False,False,False
1547,Deiryu,1940,calligraphy,Zen,Bamboo,75349.jpg,1940-1959,1940-1959,1900-1919,1900-1919,1900-1919,1940-1959,True,False,False,False,True,False
1548,Richard Gerstl,1907,landscape,Expressionism,Lake Traunsee with the Schlafende Griechin mountain,90294.jpg,1900-1919,1900-1919,1900-1919,1940-1959,1940-1959,1900-1919,True,True,False,False,True,False
1549,Alekos Kontopoulos ,1951,interior,Cubism,Armchair,80283.jpg,1940-1959,1940-1959,1900-1919,1940-1959,1900-1919,1900-1919,True,False,True,False,False,False
1550,Walter Crane,1872,genre painting,Neo-Romanticism,At Home. A Portrait ,11707.jpg,1860-1879,1860-1879,1900-1919,1880-1899,1900-1919,1860-1879,True,False,False,False,True,False
1551,Konstantin Makovsky,1895,genre painting,Realism,Friends,70933.jpg,1880-1899,1860-1879,1980-1999,1880-1899,1860-1879,1920-1939,False,False,True,False,False,False
1552,Mykola Yaroshenko,1884,landscape,Realism,Sat-Mount (Mount Elbrus),88823.jpg,1880-1899,1880-1899,1900-1919,1900-1919,1880-1899,1900-1919,True,False,False,True,False,False
1553,Bertalan Szekely,1890,genre painting,Realism,Farm-yard with Girl in Red Skirt,34939.jpg,1880-1899,1900-1919,1980-1999,1920-1939,1880-1899,1900-1919,False,False,False,True,False,False
1554,William Bradford,1869,marina,Romanticism,Iceberg ,36414.jpg,1860-1879,1920-1939,1960-1979,1900-1919,1920-1939,1920-1939,False,False,False,False,False,False
1555,Konstantin Korovin,1894,cityscape,Impressionism,Venice ,33962.jpg,1880-1899,1900-1919,1900-1919,1880-1899,1900-1919,1900-1919,False,False,True,False,False,False
1556,Kees van Dongen,1908,portrait,Fauvism,"Modjesko, opera singer",7679.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,True,True,True,True,True,True
1557,Valentin Serov,1897,portrait,Realism,Portrait of Maria Morozova,55548.jpg,1880-1899,1880-1899,1900-1919,1900-1919,1900-1919,1880-1899,True,False,False,False,True,False
1558,Odilon Redon,1894,symbolic painting,Symbolism,The Child,67061.jpg,1880-1899,1960-1979,1980-1999,1940-1959,1960-1979,1940-1959,False,False,False,False,False,False
1559,Diego Rivera,1950,history painting,Muralism,The Huastec Civilisation,73424.jpg,1940-1959,1920-1939,1900-1919,1900-1919,1900-1919,1900-1919,False,False,False,False,False,False
1560,Kuzma Petrov-Vodkin,1918,sketch and study,Symbolism,Sketch panel Stepan Razin ,41353.jpg,1900-1919,1860-1879,1900-1919,1880-1899,1860-1879,1940-1959,False,True,False,False,False,False
1561,Osman Hamdi,1890,genre painting,Romanticism,Two Young Girls Visiting a Shrine,12152.jpg,1880-1899,1920-1939,1900-1919,1900-1919,1900-1919,1880-1899,False,False,False,False,True,False
1562,Anton Azbe,1889,portrait,Realism,Portrait of a Bavarian man,47414.jpg,1880-1899,1880-1899,1900-1919,1880-1899,1900-1919,1880-1899,True,False,True,False,True,False
1563,Dorothy Lathrop,1931,illustration,Art Nouveau (Modern),The Fairy Circus  ,10745.jpg,1920-1939,1920-1939,1960-1979,1920-1939,1920-1939,1920-1939,True,False,True,True,True,False
1564,Pyotr Konchalovsky,1913,sketch and study,Post-Impressionism,Guitarist. A Sketch.,59558.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,1920-1939,True,True,True,True,False,False
1565,Vasily Surikov,1905,sketch and study,Realism,Head of a young cossack,36501.jpg,1900-1919,1920-1939,1920-1939,1880-1899,1920-1939,1920-1939,False,False,False,False,False,False
1566,Pierre Puvis de Chavannes,1888,genre painting,Symbolism,Christian Inspiration,21823.jpg,1880-1899,1920-1939,1900-1919,1880-1899,1880-1899,1860-1879,False,False,True,True,False,False
1567,Aleksey Savrasov,1875,landscape,Realism,On the Volga,87902.jpg,1860-1879,1860-1879,1860-1879,1860-1879,1860-1879,1880-1899,True,True,True,True,False,False
1568,Lynd Ward,1936,illustration,Expressionism,Song Without Words,39170.jpg,1920-1939,1920-1939,1920-1939,1920-1939,1920-1939,1920-1939,True,True,True,True,True,True
1569,Dorothy Lathrop,1920,illustration,Art Nouveau (Modern),A Little Boy Lost ,78068.jpg,1920-1939,1920-1939,1980-1999,1920-1939,1880-1899,1880-1899,True,False,True,False,False,False
1570,Charles M. Russell,1906,animal painting,Romanticism,Deer in a Snowy Forest ,38826.jpg,1900-1919,1920-1939,1980-1999,1880-1899,1900-1919,1880-1899,False,False,False,True,False,False
1571,Martiros Saryan,1903,genre painting,Post-Impressionism,Evening in the garden,55560.jpg,1900-1919,1860-1879,1900-1919,1860-1879,1860-1879,1880-1899,False,True,False,False,False,False
1572,Salvador Dali,1931,portrait,Surrealism,Mme. Reese,54156.jpg,1920-1939,1940-1959,1860-1879,1940-1959,1940-1959,1940-1959,False,False,False,False,False,False
1573,Pierre-Auguste Renoir,1895,portrait,Impressionism,Bust of a Young Girl,53132.jpg,1880-1899,1880-1899,1900-1919,1900-1919,1880-1899,1900-1919,True,False,False,True,False,False
1574,Konstantin Makovsky,1900,portrait,Romanticism,Girl in the Field,46154.jpg,1900-1919,1880-1899,1900-1919,1880-1899,1880-1899,1900-1919,False,True,False,False,True,False
1575,Theodoros Stamos,1961,abstract,Abstract Expressionism,The Door,22140.jpg,1960-1979,1960-1979,1980-1999,1940-1959,1940-1959,1940-1959,True,False,False,False,False,False
1576,Maria Primachenko,1936,animal painting,Naïve Art (Primitivism),Black Monkey,74538.jpg,1920-1939,1900-1919,1900-1919,1900-1919,1960-1979,1900-1919,False,False,False,False,False,False
1577,Rudolf Schweitzer-Cumpana,1922,genre painting,Impressionism,Little Violonist,13031.jpg,1920-1939,1900-1919,1900-1919,1920-1939,1900-1919,1900-1919,False,False,True,False,False,False
1578,Mark Rothko,1959,abstract,Color Field Painting,Untitled,56097.jpg,1940-1959,1960-1979,1960-1979,1960-1979,1960-1979,1960-1979,False,False,False,False,False,False
1579,Mary Cassatt,1902,genre painting,Impressionism,Mother Sara and the Baby,12364.jpg,1900-1919,1880-1899,1900-1919,1900-1919,1900-1919,1880-1899,False,True,True,True,False,False
1580,Grant Wood,1938,genre painting,Regionalism,Honorary Degree ,47750.jpg,1920-1939,1880-1899,1900-1919,1880-1899,1880-1899,1880-1899,False,False,False,False,False,False
